pic1,pic2
artichoke,cherries
avocado,schoolbus
banana,cherries
banana,pumpkin
banana,rhinoceros
banana,sheep
banana,trumpet
baseball,clarinet
baseball,penguin
baseballmitt,rhinoceros
baseballmitt,washingmachine
basketball,hotdog
basketball,raspberry
basketball,sideroadsign
bear,toilet
binoculars,lime
binoculars,snowflake
bulldozer,camera
bulldozer,fireextinguisher
bulldozer,lion
camera,cigar
camera,fox
camera,garlic
camera,potato
camera,tire
cardinal,lobster
cardinal,potato
carrot,chinesefoodcarton
carrot,potato
carrot,sheep
carrot,strawberry
carrot,tennisball
carrot,trafficcone
cherries,corncob
cherries,greenbeans
cherries,ketchup
cherries,turtle
chick,firehydrant
chick,ketchup
chick,schoolbus
chinesefoodcarton,crocodile
chinesefoodcarton,elephant
chinesefoodcarton,hotdog
chinesefoodcarton,rhinoceros
clarinet,trafficcone
coconut,tooth
corncob,mailbox
corncob,rubberducky
corncob,sideroadsign
corncob,tiger
corncob,turtle
cucumber,penguin
cucumber,rubberducky
cucumber,santahat
driedcorn,firetruck
driedcorn,raspberry
eggplant,iguana
elephant,firemanhat
elephant,iguana
elephant,piano
elephant,rubberducky
firehydrant,greenbeans
fox,walkietalkie
frog,pickle
frog,tiger
golfball,noentrysign
grapefruithalves,turtle
grapefruithalves,walkietalkie
greekcolumn,toilet
greekcolumn,trafficcone
greenbeans,rubberducky
greenbeans,smokedetector
greenbeans,tooth
handicappedparking,moviecamera
handicappedparking,pickle
handicappedparking,pumpkin
handicappedparking,santahat
hockeypuck,speaker
hockeypuck,stocking
hockeypuck,washingmachine
hotdog,tiger
iguana,tire
ketchup,sideroadsign
kiwihalf,polarbear
lemon,speaker
lemon,tomato
lion,peapod
lion,pumpkin
mailbox,snowflake
mailbox,turtle
moviecamera,sheep
orange,strawberry
peapod,penguin
peapod,tophat
peapod,wholewatermelon
penguin,rubberducky
penguin,toilet
piano,tennisball
polarbear,sideroadsign
pumpkin,weddingcake
record,toilet
rhinoceros,tiger
rubberducky,watermelonslice
santahat,snowflake
santahat,wreath
sideroadsign,tire
sideroadsign,walkietalkie
smokedetector,stocking
smokedetector,tire
smokedetector,turtle
swan,trafficcone
swan,violin
tank,weddingcake
television,tennisball
tennisball,washingmachine
tiger,tophat
tiger,zucchini
tomato,wreath
tooth,wreath
turtle,washingmachine
