pic1,pic2
anvil,apricot
anvil,artichoke
anvil,clarinet
anvil,football
anvil,trumpet
anvil,violin
apricot,clarinet
apricot,handicappedparking
apricot,stocking
artichoke,baseball
artichoke,penguin
artichoke,pickle
avocado,cauliflower
avocado,golfball
banana,lemon
banana,stocking
banana,tophat
baseball,lime
baseball,penguin
baseballmitt,celery
baseballmitt,snowflake
baseballmitt,tomato
basketball,tank
basketball,television
bear,snowflake
bear,turtle
binoculars,snowflake
binoculars,tophat
bison,cauliflower
bison,firetruck
bison,greenbeans
bison,stocking
broccoli,clarinet
bulldozer,firemanhat
bulldozer,greenbeans
bulldozer,tennisball
camera,firetruck
camera,strawberry
cardinal,elephant
cardinal,fireextinguisher
cardinal,noentrysign
cardinal,sideroadsign
cardinal,wholewatermelon
cauliflower,rhinoceros
cauliflower,zucchini
celery,lime
celery,mailbox
celery,santahat
cherries,orange
cherries,violin
chick,crocodile
chick,tennisball
chinesefoodcarton,peapod
cigar,tomato
cigar,walkietalkie
cigar,watermelonslice
clarinet,pinkflamingo
clarinet,polarbear
coconut,driedcorn
coconut,grapefruithalves
coconut,greenbeans
coconut,tire
coconut,walkietalkie
corncob,driedcorn
corncob,polarbear
crocodile,golfball
crocodile,tiger
crosswalksign,potato
cucumber,hotdog
driedcorn,tophat
driedcorn,trafficcone
egg,kiwihalf
eggplant,wholewatermelon
fireextinguisher,snowflake
firehydrant,frog
firemanhat,golfball
firemanhat,strawberry
football,pumpkin
fox,noentrysign
fox,tank
fox,turtle
garlic,speaker
grapefruithalves,smokedetector
grapefruithalves,swan
greekcolumn,pinkflamingo
greenbeans,tank
handicappedparking,penguin
hockeypuck,peapod
hockeypuck,tank
hockeypuck,weddingcake
hotdog,pumpkin
iguana,tennisball
iguana,wholewatermelon
ketchup,santahat
kiwihalf,zucchini
lemon,noentrysign
lion,walkietalkie
mailbox,walkietalkie
moviecamera,peapod
noentrysign,snowflake
piano,watermelonslice
piano,zucchini
pinkflamingo,tophat
polarbear,rubberducky
pumpkin,tooth
record,watermelonslice
rubberducky,trumpet
sheep,violin
sideroadsign,speaker
smokedetector,tophat
snowflake,stocking
snowflake,tiger
snowflake,tire
snowflake,tomato
stocking,tiger
stocking,weddingcake
tank,tophat
tooth,wholewatermelon
trafficcone,wreath
turtle,zucchini
