pic1,pic2
anvil,fireextinguisher
apricot,cigar
apricot,corncob
apricot,greenbeans
apricot,lobster
artichoke,coconut
artichoke,hockeypuck
artichoke,peapod
artichoke,tank
avocado,firemanhat
avocado,sheep
banana,celery
banana,firemanhat
baseball,camera
baseball,elephant
baseball,rubberducky
baseball,television
baseballmitt,carrot
baseballmitt,cigar
baseballmitt,toilet
basketball,moviecamera
bear,cardinal
bear,hotdog
bear,mailbox
binoculars,camera
binoculars,kiwihalf
binoculars,mailbox
blueberries,broccoli
blueberries,toilet
broccoli,swan
bulldozer,elephant
cactus,driedcorn
cactus,grapefruithalves
cactus,rhinoceros
camera,lemon
cardinal,firetruck
carrot,sideroadsign
cauliflower,weddingcake
cherries,grapefruithalves
cherries,polarbear
chinesefoodcarton,handicappedparking
chinesefoodcarton,potato
chinesefoodcarton,tennisball
cigar,fox
cigar,lime
cigar,moviecamera
clarinet,trumpet
coconut,penguin
corncob,crocodile
corncob,pumpkin
corncob,trumpet
crosswalksign,hotdog
crosswalksign,mailbox
crosswalksign,speaker
crosswalksign,swan
crosswalksign,tennisball
cucumber,firemanhat
cucumber,tophat
cucumber,weddingcake
driedcorn,potato
driedcorn,trafficcone
driedcorn,trumpet
eggplant,television
eggplant,trafficcone
fireextinguisher,lion
fireextinguisher,penguin
fireextinguisher,santahat
firehydrant,mailbox
firemanhat,handicappedparking
firetruck,mailbox
football,orange
fox,polarbear
frog,swan
garlic,orange
golfball,noentrysign
golfball,orange
golfball,toilet
grapefruithalves,speaker
greenbeans,kiwihalf
greenbeans,peapod
hockeypuck,lime
hotdog,piano
hotdog,pinkflamingo
iguana,wreath
lemon,lion
lemon,tennisball
lobster,noentrysign
lobster,rhinoceros
lobster,violin
lobster,zucchini
mailbox,peapod
moviecamera,tank
moviecamera,turtle
orange,raspberry
orange,wreath
penguin,snowflake
penguin,tiger
piano,pinkflamingo
pickle,tooth
pinkflamingo,smokedetector
potato,speaker
raspberry,tophat
record,santahat
record,sideroadsign
record,weddingcake
rhinoceros,sideroadsign
rhinoceros,tomato
rhinoceros,wholewatermelon
rubberducky,strawberry
santahat,tire
sheep,tennisball
sheep,tooth
swan,tooth
tank,trafficcone
television,tophat
television,wholewatermelon
tire,zucchini
trafficcone,zucchini
turtle,violin
violin,walkietalkie
