pic1,pic2
anvil,elephant
anvil,moviecamera
anvil,penguin
apricot,fireextinguisher
apricot,iguana
apricot,tank
artichoke,polarbear
avocado,kiwihalf
avocado,orange
avocado,rhinoceros
avocado,speaker
avocado,tooth
banana,lobster
baseball,egg
baseball,grapefruithalves
baseball,mailbox
baseballmitt,camera
baseballmitt,carrot
baseballmitt,grapefruithalves
baseballmitt,mailbox
basketball,corncob
bear,camera
bear,pinkflamingo
binoculars,lime
bison,cauliflower
bison,snowflake
broccoli,chick
broccoli,sheep
bulldozer,greenbeans
bulldozer,weddingcake
cactus,elephant
cactus,greekcolumn
cactus,ketchup
cactus,mailbox
camera,cigar
camera,golfball
camera,schoolbus
cardinal,pickle
carrot,ketchup
carrot,swan
carrot,tiger
cauliflower,hockeypuck
cauliflower,sideroadsign
celery,driedcorn
cherries,snowflake
chick,greenbeans
chinesefoodcarton,crosswalksign
clarinet,firehydrant
clarinet,firemanhat
clarinet,lobster
clarinet,pickle
clarinet,sideroadsign
coconut,penguin
coconut,polarbear
coconut,smokedetector
crocodile,eggplant
crocodile,football
crocodile,swan
cucumber,pinkflamingo
cucumber,walkietalkie
cucumber,washingmachine
cucumber,weddingcake
cucumber,wholewatermelon
egg,iguana
elephant,moviecamera
elephant,wreath
fireextinguisher,weddingcake
firehydrant,rhinoceros
firemanhat,pickle
firemanhat,pinkflamingo
firemanhat,tooth
firemanhat,zucchini
football,golfball
football,swan
football,television
football,toilet
football,watermelonslice
fox,smokedetector
frog,trumpet
garlic,handicappedparking
garlic,trumpet
golfball,smokedetector
golfball,trafficcone
grapefruithalves,swan
grapefruithalves,trafficcone
greekcolumn,record
greekcolumn,tennisball
greekcolumn,violin
greenbeans,record
handicappedparking,mailbox
handicappedparking,polarbear
handicappedparking,trumpet
hotdog,record
ketchup,schoolbus
ketchup,turtle
kiwihalf,tiger
lion,walkietalkie
mailbox,toilet
moviecamera,rubberducky
moviecamera,trafficcone
orange,peapod
orange,rhinoceros
piano,pinkflamingo
pickle,raspberry
pickle,tire
pinkflamingo,snowflake
pinkflamingo,speaker
record,tophat
record,turtle
rhinoceros,tophat
rubberducky,speaker
santahat,weddingcake
snowflake,swan
snowflake,watermelonslice
tank,trumpet
tank,turtle
tomato,watermelonslice
tooth,wholewatermelon
trafficcone,washingmachine
turtle,violin
