pic1,pic2
anvil,firemanhat
anvil,firetruck
anvil,orange
apricot,crosswalksign
apricot,toilet
apricot,trumpet
artichoke,baseballmitt
artichoke,firemanhat
artichoke,mailbox
artichoke,orange
artichoke,zucchini
avocado,fox
banana,pinkflamingo
banana,polarbear
banana,stocking
banana,wholewatermelon
baseball,polarbear
baseballmitt,lemon
baseballmitt,santahat
baseballmitt,trafficcone
basketball,frog
basketball,tennisball
basketball,violin
basketball,zucchini
bear,fox
bear,penguin
bear,wholewatermelon
bear,wreath
binoculars,fireextinguisher
bison,raspberry
bison,tire
blueberries,penguin
broccoli,mailbox
bulldozer,tooth
cactus,tomato
camera,cherries
camera,elephant
camera,stocking
cardinal,tomato
cauliflower,wholewatermelon
celery,lion
celery,santahat
celery,snowflake
cherries,moviecamera
cigar,stocking
cigar,television
coconut,frog
corncob,zucchini
crocodile,tennisball
crosswalksign,smokedetector
cucumber,hockeypuck
cucumber,orange
driedcorn,eggplant
driedcorn,greenbeans
driedcorn,pumpkin
driedcorn,trumpet
driedcorn,watermelonslice
egg,noentrysign
eggplant,lobster
eggplant,sideroadsign
eggplant,walkietalkie
elephant,firehydrant
elephant,raspberry
fireextinguisher,frog
firehydrant,ketchup
firehydrant,weddingcake
firemanhat,orange
firemanhat,penguin
fox,hockeypuck
fox,pumpkin
fox,rhinoceros
garlic,piano
golfball,tank
golfball,toilet
greekcolumn,sheep
greenbeans,lemon
greenbeans,pumpkin
greenbeans,tomato
handicappedparking,tiger
handicappedparking,trumpet
hockeypuck,rhinoceros
hockeypuck,television
hockeypuck,zucchini
hotdog,kiwihalf
hotdog,pickle
hotdog,polarbear
iguana,lobster
iguana,noentrysign
ketchup,pickle
ketchup,wholewatermelon
lion,moviecamera
lion,sheep
lion,turtle
lobster,noentrysign
mailbox,violin
noentrysign,washingmachine
penguin,piano
penguin,trumpet
penguin,turtle
piano,tomato
pickle,potato
pickle,zucchini
pinkflamingo,potato
pinkflamingo,pumpkin
pinkflamingo,wholewatermelon
polarbear,raspberry
potato,pumpkin
potato,violin
pumpkin,tomato
pumpkin,wholewatermelon
record,violin
rhinoceros,zucchini
rubberducky,swan
rubberducky,tennisball
rubberducky,watermelonslice
santahat,sideroadsign
sheep,sideroadsign
smokedetector,strawberry
smokedetector,weddingcake
toilet,tomato
