pic1,pic2
anvil,corncob
anvil,iguana
anvil,lemon
anvil,tank
apricot,noentrysign
apricot,watermelonslice
artichoke,broccoli
artichoke,handicappedparking
avocado,lobster
avocado,swan
banana,celery
banana,elephant
banana,fireextinguisher
banana,kiwihalf
banana,schoolbus
banana,toilet
baseball,rhinoceros
baseball,tire
baseballmitt,strawberry
baseballmitt,violin
basketball,corncob
basketball,greekcolumn
basketball,tiger
bear,polarbear
bear,snowflake
binoculars,potato
binoculars,tooth
blueberries,penguin
blueberries,tiger
broccoli,clarinet
broccoli,santahat
cactus,chinesefoodcarton
cactus,kiwihalf
camera,television
cardinal,celery
cardinal,lime
cardinal,tooth
carrot,corncob
carrot,rubberducky
cauliflower,raspberry
celery,football
cherries,clarinet
cherries,wreath
chick,violin
chinesefoodcarton,greekcolumn
chinesefoodcarton,stocking
cigar,hockeypuck
cigar,lime
cigar,smokedetector
cigar,toilet
corncob,polarbear
crosswalksign,speaker
cucumber,sideroadsign
driedcorn,rubberducky
driedcorn,turtle
eggplant,hockeypuck
eggplant,tank
elephant,trafficcone
fireextinguisher,lemon
firehydrant,tiger
firemanhat,frog
firetruck,schoolbus
football,greenbeans
frog,zucchini
garlic,greekcolumn
garlic,santahat
golfball,penguin
golfball,stocking
golfball,tank
grapefruithalves,lemon
grapefruithalves,lime
grapefruithalves,zucchini
greekcolumn,rubberducky
greekcolumn,trumpet
greekcolumn,violin
greekcolumn,wreath
handicappedparking,piano
hotdog,lemon
hotdog,snowflake
iguana,smokedetector
ketchup,tank
ketchup,zucchini
kiwihalf,pumpkin
kiwihalf,speaker
kiwihalf,wreath
lemon,raspberry
lobster,wholewatermelon
moviecamera,wholewatermelon
noentrysign,sheep
orange,penguin
orange,rubberducky
orange,toilet
orange,watermelonslice
piano,tomato
pinkflamingo,tooth
polarbear,potato
polarbear,weddingcake
record,speaker
record,tennisball
record,tophat
rhinoceros,stocking
rubberducky,tank
rubberducky,tooth
santahat,snowflake
santahat,speaker
santahat,tomato
santahat,tophat
smokedetector,snowflake
speaker,television
speaker,tiger
stocking,tomato
swan,tire
tank,toilet
tank,violin
tennisball,trumpet
tennisball,walkietalkie
toilet,tophat
tomato,wreath
tooth,turtle
turtle,zucchini
