pic1,pic2
anvil,bison
anvil,walkietalkie
apricot,bear
apricot,stocking
apricot,tank
artichoke,baseball
artichoke,moviecamera
avocado,penguin
avocado,potato
avocado,violin
avocado,wreath
banana,cauliflower
baseball,chick
baseball,weddingcake
baseballmitt,coconut
baseballmitt,cucumber
baseballmitt,television
basketball,firemanhat
basketball,greekcolumn
basketball,penguin
bear,potato
bear,sideroadsign
binoculars,celery
bison,firehydrant
bison,rubberducky
bison,tiger
blueberries,cigar
blueberries,driedcorn
blueberries,pickle
broccoli,polarbear
broccoli,schoolbus
broccoli,stocking
cactus,weddingcake
camera,schoolbus
camera,tophat
camera,violin
cardinal,toilet
carrot,fox
carrot,handicappedparking
carrot,hockeypuck
carrot,lobster
cauliflower,peapod
celery,santahat
cherries,coconut
cherries,lobster
cherries,peapod
chick,sideroadsign
chick,tooth
chinesefoodcarton,cigar
chinesefoodcarton,hockeypuck
chinesefoodcarton,moviecamera
cigar,ketchup
cigar,strawberry
clarinet,cucumber
coconut,crosswalksign
coconut,tophat
corncob,grapefruithalves
corncob,washingmachine
crocodile,zucchini
crosswalksign,sideroadsign
cucumber,watermelonslice
eggplant,peapod
eggplant,walkietalkie
eggplant,weddingcake
elephant,penguin
elephant,tomato
fireextinguisher,santahat
fireextinguisher,swan
firehydrant,lemon
firehydrant,speaker
firehydrant,television
firemanhat,swan
firetruck,iguana
fox,tiger
frog,lobster
frog,rhinoceros
golfball,penguin
golfball,tank
greekcolumn,trumpet
greenbeans,ketchup
handicappedparking,pickle
handicappedparking,trafficcone
hockeypuck,moviecamera
hockeypuck,peapod
hockeypuck,potato
hockeypuck,weddingcake
hotdog,watermelonslice
iguana,pinkflamingo
iguana,sheep
iguana,zucchini
ketchup,walkietalkie
kiwihalf,noentrysign
lemon,tank
lion,pumpkin
lobster,rubberducky
mailbox,tennisball
mailbox,wholewatermelon
noentrysign,zucchini
orange,sheep
peapod,sheep
penguin,santahat
pickle,washingmachine
pinkflamingo,trafficcone
pinkflamingo,turtle
potato,sheep
potato,swan
potato,turtle
potato,walkietalkie
rhinoceros,tomato
sheep,sideroadsign
sideroadsign,turtle
sideroadsign,watermelonslice
speaker,tennisball
stocking,tomato
stocking,tooth
strawberry,walkietalkie
tank,television
tank,watermelonslice
tomato,zucchini
tooth,turtle
