pic1,pic2
anvil,frog
anvil,iguana
anvil,peapod
apricot,chick
apricot,hockeypuck
apricot,watermelonslice
avocado,cardinal
avocado,egg
avocado,hockeypuck
banana,handicappedparking
baseballmitt,rhinoceros
baseballmitt,tooth
basketball,bison
basketball,cardinal
basketball,frog
basketball,handicappedparking
bear,cucumber
bear,lobster
bear,speaker
bear,watermelonslice
bear,weddingcake
binoculars,cucumber
binoculars,turtle
bison,blueberries
bison,polarbear
bison,sideroadsign
broccoli,cucumber
broccoli,kiwihalf
broccoli,penguin
bulldozer,zucchini
cactus,chinesefoodcarton
camera,cucumber
camera,speaker
cardinal,celery
cardinal,garlic
cardinal,pinkflamingo
cardinal,polarbear
cardinal,watermelonslice
carrot,frog
carrot,lion
cauliflower,rhinoceros
cherries,greenbeans
cherries,hotdog
cherries,ketchup
cherries,tank
cherries,violin
chick,fox
chick,tank
chick,trumpet
chick,turtle
chinesefoodcarton,firemanhat
chinesefoodcarton,record
chinesefoodcarton,tophat
cigar,firehydrant
cigar,garlic
cigar,wholewatermelon
clarinet,orange
clarinet,penguin
clarinet,wholewatermelon
coconut,rubberducky
corncob,firehydrant
crocodile,schoolbus
crosswalksign,fox
crosswalksign,orange
cucumber,snowflake
driedcorn,stocking
egg,firemanhat
egg,football
eggplant,potato
elephant,record
elephant,washingmachine
fireextinguisher,golfball
fireextinguisher,weddingcake
firehydrant,hockeypuck
firemanhat,kiwihalf
football,lime
football,santahat
frog,sheep
frog,tophat
grapefruithalves,washingmachine
greekcolumn,ketchup
greekcolumn,speaker
greekcolumn,tiger
greekcolumn,tooth
greekcolumn,violin
greenbeans,ketchup
greenbeans,rhinoceros
handicappedparking,hockeypuck
hotdog,trumpet
iguana,lime
ketchup,wreath
lemon,santahat
lime,lion
lion,noentrysign
lobster,record
lobster,tire
lobster,washingmachine
lobster,wreath
mailbox,pumpkin
mailbox,television
moviecamera,walkietalkie
peapod,rhinoceros
peapod,trumpet
peapod,turtle
penguin,record
pinkflamingo,potato
pinkflamingo,tiger
pinkflamingo,trumpet
polarbear,wholewatermelon
pumpkin,raspberry
pumpkin,snowflake
pumpkin,trumpet
pumpkin,washingmachine
sideroadsign,trumpet
snowflake,trumpet
speaker,wholewatermelon
swan,weddingcake
tank,television
tire,tophat
tomato,washingmachine
