pic1,pic2
anvil,firetruck
avocado,cherries
avocado,raspberry
avocado,trumpet
banana,camera
banana,firehydrant
banana,firemanhat
banana,garlic
baseball,elephant
baseball,fireextinguisher
baseball,weddingcake
baseballmitt,crosswalksign
baseballmitt,fireextinguisher
baseballmitt,ketchup
baseballmitt,kiwihalf
bear,lobster
bear,watermelonslice
binoculars,blueberries
binoculars,lion
binoculars,piano
bison,frog
bison,tire
blueberries,cigar
blueberries,garlic
broccoli,pumpkin
broccoli,trafficcone
broccoli,wreath
bulldozer,record
bulldozer,wholewatermelon
cactus,lobster
cactus,smokedetector
cactus,snowflake
camera,moviecamera
cardinal,clarinet
cardinal,raspberry
cardinal,record
carrot,orange
carrot,smokedetector
cauliflower,pinkflamingo
cauliflower,sideroadsign
celery,firetruck
celery,orange
celery,pumpkin
celery,watermelonslice
chick,hockeypuck
chinesefoodcarton,strawberry
cigar,corncob
cigar,fox
cigar,television
cigar,tomato
clarinet,lobster
coconut,frog
coconut,pumpkin
corncob,moviecamera
crocodile,egg
crocodile,handicappedparking
crocodile,hockeypuck
crosswalksign,watermelonslice
cucumber,football
driedcorn,elephant
driedcorn,lion
egg,peapod
elephant,tophat
firehydrant,football
firehydrant,golfball
firehydrant,noentrysign
firehydrant,watermelonslice
firehydrant,weddingcake
firemanhat,greekcolumn
football,violin
garlic,moviecamera
garlic,strawberry
golfball,tank
golfball,tomato
grapefruithalves,turtle
greekcolumn,violin
greenbeans,trafficcone
handicappedparking,moviecamera
hockeypuck,stocking
ketchup,watermelonslice
kiwihalf,wreath
kiwihalf,zucchini
lemon,rhinoceros
lemon,wreath
lime,polarbear
lime,watermelonslice
lion,penguin
lion,schoolbus
lion,wholewatermelon
moviecamera,washingmachine
orange,strawberry
peapod,potato
penguin,strawberry
penguin,tank
piano,trumpet
pinkflamingo,polarbear
polarbear,potato
potato,snowflake
pumpkin,tire
pumpkin,tooth
raspberry,sheep
record,stocking
record,tire
rhinoceros,watermelonslice
rubberducky,zucchini
santahat,trafficcone
sideroadsign,tomato
sideroadsign,wreath
snowflake,tiger
snowflake,weddingcake
speaker,tophat
stocking,weddingcake
strawberry,tophat
television,tooth
tiger,wholewatermelon
tire,trumpet
toilet,watermelonslice
tomato,trafficcone
washingmachine,weddingcake
washingmachine,wreath
