pic1,pic2
anvil,chick
anvil,golfball
anvil,pinkflamingo
artichoke,baseball
artichoke,grapefruithalves
avocado,binoculars
avocado,cauliflower
avocado,pinkflamingo
banana,cigar
banana,tire
banana,tophat
baseball,bear
baseball,clarinet
baseball,coconut
baseball,stocking
baseball,wreath
baseballmitt,binoculars
baseballmitt,broccoli
bear,swan
binoculars,celery
binoculars,golfball
binoculars,lime
binoculars,sideroadsign
binoculars,wreath
bison,pickle
bison,potato
bison,sheep
bison,wreath
blueberries,celery
blueberries,schoolbus
broccoli,swan
broccoli,trafficcone
broccoli,wreath
bulldozer,cardinal
bulldozer,eggplant
camera,kiwihalf
camera,pumpkin
cardinal,piano
cardinal,toilet
carrot,clarinet
carrot,frog
carrot,ketchup
carrot,speaker
celery,chinesefoodcarton
celery,swan
cherries,driedcorn
cherries,egg
cherries,tire
cherries,violin
cigar,firetruck
clarinet,driedcorn
clarinet,strawberry
clarinet,tophat
crocodile,pinkflamingo
crosswalksign,toilet
crosswalksign,wholewatermelon
cucumber,hotdog
cucumber,speaker
driedcorn,mailbox
driedcorn,orange
eggplant,peapod
elephant,firetruck
elephant,grapefruithalves
elephant,iguana
elephant,pinkflamingo
elephant,santahat
fireextinguisher,television
firehydrant,handicappedparking
firehydrant,sheep
firemanhat,handicappedparking
firetruck,kiwihalf
football,tire
fox,hockeypuck
fox,stocking
fox,zucchini
garlic,pickle
garlic,tiger
golfball,strawberry
grapefruithalves,hotdog
grapefruithalves,tire
greekcolumn,moviecamera
greekcolumn,pickle
greekcolumn,pumpkin
greekcolumn,trafficcone
greenbeans,pickle
greenbeans,television
hockeypuck,turtle
iguana,swan
iguana,tank
iguana,turtle
ketchup,moviecamera
kiwihalf,pinkflamingo
lemon,weddingcake
lime,orange
lime,sheep
lime,tennisball
lion,sheep
lion,washingmachine
lobster,moviecamera
mailbox,penguin
mailbox,snowflake
noentrysign,peapod
noentrysign,pinkflamingo
penguin,tire
penguin,tooth
piano,schoolbus
polarbear,wreath
potato,wholewatermelon
pumpkin,wholewatermelon
record,snowflake
santahat,turtle
schoolbus,tire
schoolbus,washingmachine
swan,tank
swan,turtle
tank,walkietalkie
tank,wholewatermelon
tiger,wreath
tomato,weddingcake
tooth,violin
