pic1,pic2
anvil,greekcolumn
anvil,greenbeans
anvil,santahat
anvil,sideroadsign
apricot,corncob
apricot,wreath
artichoke,basketball
artichoke,crocodile
artichoke,greenbeans
artichoke,raspberry
avocado,blueberries
banana,tomato
banana,weddingcake
baseball,broccoli
baseball,chinesefoodcarton
baseball,tire
baseball,trafficcone
baseballmitt,swan
baseballmitt,tophat
basketball,blueberries
basketball,coconut
bear,firehydrant
bison,noentrysign
blueberries,potato
broccoli,driedcorn
broccoli,golfball
bulldozer,record
bulldozer,rubberducky
cactus,handicappedparking
camera,grapefruithalves
camera,kiwihalf
camera,stocking
cardinal,chinesefoodcarton
cardinal,lemon
cardinal,tennisball
carrot,peapod
cauliflower,chinesefoodcarton
cauliflower,rhinoceros
cauliflower,tennisball
celery,speaker
celery,walkietalkie
cherries,lime
cherries,watermelonslice
chick,grapefruithalves
chinesefoodcarton,grapefruithalves
chinesefoodcarton,greekcolumn
chinesefoodcarton,pickle
chinesefoodcarton,television
cigar,fireextinguisher
cigar,pumpkin
cigar,snowflake
clarinet,coconut
clarinet,golfball
clarinet,moviecamera
coconut,crocodile
corncob,greenbeans
corncob,orange
corncob,rubberducky
corncob,sideroadsign
corncob,watermelonslice
crocodile,tennisball
crosswalksign,garlic
cucumber,mailbox
cucumber,tire
driedcorn,lobster
driedcorn,tophat
egg,lime
egg,potato
fireextinguisher,turtle
firehydrant,football
firehydrant,grapefruithalves
firehydrant,rubberducky
firehydrant,trumpet
firehydrant,washingmachine
firemanhat,greekcolumn
firemanhat,sideroadsign
football,noentrysign
football,tennisball
fox,grapefruithalves
garlic,speaker
golfball,smokedetector
golfball,stocking
grapefruithalves,penguin
grapefruithalves,pumpkin
grapefruithalves,watermelonslice
greekcolumn,peapod
greekcolumn,turtle
greenbeans,lime
greenbeans,rubberducky
handicappedparking,toilet
handicappedparking,wholewatermelon
hockeypuck,kiwihalf
hotdog,trumpet
iguana,polarbear
iguana,smokedetector
iguana,strawberry
iguana,trumpet
lime,pickle
lime,swan
lion,strawberry
lobster,tophat
moviecamera,pinkflamingo
moviecamera,violin
peapod,schoolbus
piano,pumpkin
piano,tooth
pinkflamingo,tiger
potato,rubberducky
record,tiger
snowflake,tennisball
snowflake,washingmachine
strawberry,tire
swan,tire
tank,tomato
tank,wholewatermelon
tennisball,toilet
tennisball,tooth
tomato,turtle
tomato,weddingcake
wholewatermelon,wreath
